FlowNo,FirstSentTime,LastReceivedTime,FromIP,ToIP,SendToPort,ReceivedFromPort,SentFrameSize,ReceivedFrameSize,SentData,ReceivedData,Protocol,TransactionTime,HasSubFlow,isAbnormal
795,2019-3-8 16:16:59.634463,2019-3-8 16:16:59.733153,192.168.2.238,192.168.2.166,3610,3610,60,57,10:81:00:f6:0e:f0:01:05:fd:01:62:01:80:00,10:81:00:f6:05:fd:01:0e:f0:01:72:01:80:01:31,eth:ethertype:ip:udp:data,98.0,false,false
796,2019-3-8 16:16:59.634490,2019-3-8 16:16:59.740104,192.168.2.238,192.168.2.167,3610,3610,60,57,10:81:00:f6:0e:f0:01:05:fd:01:62:01:80:00,10:81:00:f6:05:fd:01:0e:f0:01:72:01:80:01:31,eth:ethertype:ip:udp:data,105.0,false,false
802,2019-3-8 16:17:0.634826,2019-3-8 16:17:0.688995,192.168.2.238,192.168.2.176,3610,3610,60,64,10:81:00:f6:0e:f0:01:02:87:01:62:01:d2:00,10:81:00:f6:02:87:01:0e:f0:01:72:01:d2:08:00:08:e6:5a:00:00:00:00,eth:ethertype:ip:udp:data,54.0,false,false
801,2019-3-8 16:17:0.634799,2019-3-8 16:17:0.696052,192.168.2.238,192.168.2.158,3610,3610,60,57,10:81:00:f6:0e:f0:01:05:fd:01:62:01:80:00,10:81:00:f6:05:fd:01:0e:f0:01:72:01:80:01:31,eth:ethertype:ip:udp:data,61.0,false,false
799,2019-3-8 16:17:0.634741,2019-3-8 16:17:0.722141,192.168.2.238,192.168.2.166,3610,3610,60,57,10:81:00:f6:0e:f0:01:05:fd:01:62:01:80:00,10:81:00:f6:05:fd:01:0e:f0:01:72:01:80:01:31,eth:ethertype:ip:udp:data,87.0,false,false
800,2019-3-8 16:17:0.634770,2019-3-8 16:17:0.727418,192.168.2.238,192.168.2.167,3610,3610,60,57,10:81:00:f6:0e:f0:01:05:fd:01:62:01:80:00,10:81:00:f6:05:fd:01:0e:f0:01:72:01:80:01:31,eth:ethertype:ip:udp:data,92.0,false,false
806,2019-3-8 16:17:1.635083,2019-3-8 16:17:1.679412,192.168.2.238,192.168.2.176,3610,3610,60,64,10:81:00:f6:0e:f0:01:02:87:01:62:01:d2:00,10:81:00:f6:02:87:01:0e:f0:01:72:01:d2:08:00:08:e6:5a:00:00:00:00,eth:ethertype:ip:udp:data,44.0,false,false
804,2019-3-8 16:17:1.635042,2019-3-8 16:17:1.718634,192.168.2.238,192.168.2.167,3610,3610,60,57,10:81:00:f6:0e:f0:01:05:fd:01:62:01:80:00,10:81:00:f6:05:fd:01:0e:f0:01:72:01:80:01:31,eth:ethertype:ip:udp:data,83.0,false,false
803,2019-3-8 16:17:1.635018,2019-3-8 16:17:1.722627,192.168.2.238,192.168.2.166,3610,3610,60,57,10:81:00:f6:0e:f0:01:05:fd:01:62:01:80:00,10:81:00:f6:05:fd:01:0e:f0:01:72:01:80:01:31,eth:ethertype:ip:udp:data,87.0,false,false
805,2019-3-8 16:17:1.635062,2019-3-8 16:17:1.740238,192.168.2.238,192.168.2.158,3610,3610,60,57,10:81:00:f6:0e:f0:01:05:fd:01:62:01:80:00,10:81:00:f6:05:fd:01:0e:f0:01:72:01:80:01:31,eth:ethertype:ip:udp:data,105.0,false,false
